证券代码,证券简称,公司中文名称,2018年净负债率排名,2018年净负债率,2017年净负债率,2016年净负债率
601186.SH,中国铁建,中国铁建股份有限公司,1 ,-48%,-1%,13%
600565.SH,迪马股份,重庆市迪马实业股份有限公司,2 ,16%,86%,70%
0688.HK,中国海外发展,中国海外发展有限公司,3 ,17%,12%,1%
0137.HK,金辉集团,金辉集团有限公司,4 ,17%,26%,69%
000002.SZ,万科A,万科企业股份有限公司,5 ,30%,9%,26%
001979.SZ,招商蛇口,招商局蛇口工业区控股股份有限公司,6 ,33%,49%,11%
1109.HK,华润置地,华润置地有限公司,7 ,34%,36%,24%
600383.SH,金地集团,金地(集团)股份有限公司,8 ,38%,35%,16%
2007.HK,碧桂园,碧桂园控股有限公司,9 ,40%,45%,57%
600153.SH,建发股份,厦门建发股份有限公司,10 ,46%,74%,52%
3900.HK,绿城中国,绿城中国控股有限公司,11 ,52%,44%,58%
0960.HK,龙湖集团,龙湖集团控股有限公司,12 ,53%,48%,54%
0813.HK,世茂房地产,世茂房地产控股有限公司,13 ,57%,56%,51%
3380.HK,龙光地产,龙光地产控股有限公司,14 ,59%,36%,72%
1966.HK,中骏集团控股,中骏集团控股有限公司,15 ,60%,72%,80%
0123.HK,越秀地产,越秀地产股份有限公司,16 ,60%,72%,52%
002146.SZ,荣盛发展,荣盛房地产发展股份有限公司,17 ,61%,105%,109%
1233.HK,时代中国控股,时代中国控股有限公司,18 ,62%,58%,55%
600048.SH,保利地产,保利发展控股集团股份有限公司,19 ,64%,74%,51%
1813.HK,合景泰富集团,合景泰富集团控股有限公司,20 ,66%,68%,67%
1628.HK,禹洲地产,禹洲地产股份有限公司,21 ,67%,58%,72%
002244.SZ,滨江集团,杭州滨江房产集团股份有限公司,22 ,67%,-54%,-19%
0884.HK,旭辉控股集团,旭辉控股(集团)有限公司,23 ,67%,51%,50%
3377.HK,远洋集团,远洋集团控股有限公司,24 ,67%,60%,39%
1030.HK,新城发展控股,新城发展控股有限公司,25 ,72%,100%,89%
6158.HK,正荣地产,正荣地产集团有限公司,26 ,74%,183%,206%
3883.HK,中国奥园,中国奥园集团股份有限公司,27 ,78%,59%,59%
3383.HK,雅居乐集团,雅居乐集团控股有限公司,28 ,78%,71%,49%
600008.SH,首创股份,北京首创股份有限公司,29 ,86%,101%,89%
600466.SH,蓝光发展,四川蓝光发展股份有限公司,30 ,86%,79%,113%
0817.HK,中国金茂,中国金茂控股集团有限公司,31 ,94%,73%,50%
3990.HK,美的置业,美的置业控股有限公司,32 ,104%,111%,610%
3301.HK,融信中国,融信中国控股有限公司,33 ,106%,159%,117%
000656.SZ,金科股份,金科地产集团股份有限公司,34 ,124%,202%,110%
600340.SH,华夏幸福,华夏幸福基业股份有限公司,35 ,133%,21%,34%
000961.SZ,中南建设,江苏中南建设集团股份有限公司,36 ,143%,201%,172%
600606.SH,绿地控股,绿地控股集团股份有限公司,37 ,143%,183%,266%
1918.HK,融创中国,融创中国控股有限公司,38 ,148%,202%,122%
,大悦城（中粮）,,39 ,149%,123%,83%
600376.SH,首开股份,北京首都开发股份有限公司,40 ,152%,168%,135%
3333.HK,中国恒大,中国恒大集团,41 ,152%,184%,120%
000671.SZ,阳光城,阳光城集团股份有限公司,42 ,166%,236%,249%
600325.SH,华发股份,珠海华发实业股份有限公司,43 ,173%,224%,167%
2777.HK,富力地产,广州富力地产股份有限公司,44 ,182%,170%,160%
1638.HK,佳兆业集团,佳兆业集团控股有限公司,45 ,233%,298%,308%
000732.SZ,泰禾集团,泰禾集团股份有限公司,46 ,373%,467%,294%
数据来源：Wind,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
